name,street,zip,city
Kiepenkerl-Apotheke,Heessener Markt 1,59073,Hamm
Stadt-Apotheke,Friedhofstr. 7,88339,Bad Waldsee
Birther-Apotheke,Birther Str. 2d,42549,Velbert
Apotheke am Wall,Wallstr. 16-20,48683,Ahaus
Apotheke am Rathaus,Obere Hauptstr. 1,72172,Sulz am Neckar
Ritter-Apotheke,Karlstr. 30,74564,Crailsheim
Rathaus-Apotheke,Schoonebeekstr. 5,49124,Georgsmarienhütte
Stadtbrücken-Apotheke,Hamburger Str. 26-28,25746,Heide
Löwen-Apotheke OHG,Bahnhofstr. 64,46145,Oberhausen
Hirsch-Apotheke,Trierer Str. 27,54411,Hermeskeil
Bad-Apotheke,Badstr. 67,13357,Berlin
Apotheke Badischer Hof,Hauptstr. 107,69226,Nußloch
Chlodwig-Apotheke,Schumacherstr. 10-12,53909,Zülpich
Hirsch-Apotheke,Zeil 111,60313,Frankfurt am Main
Rats-Apotheke,Talstr. 23,66424,Homburg
Apotheke am Ludwigsplatz,In der Witz 61,55252,Mainz-Kastel
Novesia-Apotheke,Adolf-Flecken-Str. 8,41460,Neuss
Storchen-Apotheke,Hauptstr. 24,88518,Herbertingen
Höhenhaus-Apotheke,Im Weidenbruch 131,51061,Köln
Bären-Apotheke,Winterbergstr. 59,01237,Dresden
